matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possess_Number,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Malfunction,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
76,1700,0,0,1,1,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0,0,4,5,4,0,0,0,0,Blue5
82,1700,1,0,1,0,0,0,0,0,1,0,1,2,0,0,1,1,1,0,0,0,6,0,4,0,0,0,0,Blue5
15,1700,0,0,1,0,1,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,5,0,2,0,0,0,0,Blue6
6,2854,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,3,4,3,0,0,0,0,Red1
21,2854,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Red2
44,2854,1,0,1,0,0,0,0,0,1,0,0,4,2,4,1,0,0,0,0,0,0,4,3,0,0,0,0,Red2
37,2854,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
78,2854,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,1,0,Red3
70,2854,1,0,1,0,0,0,0,0,1,0,1,2,6,0,2,0,0,0,0,0,4,0,4,0,0,0,0,Blue4
12,2854,0,0,0,0,0,0,0,0,2,0,0,2,6,2,1,0,0,0,0,0,5,0,2,0,0,0,0,Blue5
50,2854,1,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,2,5,0,0,0,0,Blue5
63,2854,1,0,1,0,0,0,0,0,1,0,0,2,6,0,2,0,0,0,0,0,4,0,5,0,0,0,0,Blue5
90,2854,0,0,0,0,0,0,0,0,3,0,0,2,3,0,2,0,0,0,0,0,3,2,3,0,0,0,0,Blue5
44,295,0,0,1,0,0,0,0,0,1,0,0,3,3,1,0,0,0,0,1,0,6,1,4,0,0,0,0,Red1
77,295,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,2,2,4,0,0,0,0,Red1
68,295,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,2,0,3,1,2,0,0,0,0,Red2
86,295,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,Red2
25,295,0,0,1,0,0,0,0,0,1,0,0,2,5,0,1,0,0,0,3,0,6,0,6,0,0,0,0,Red3
36,295,0,0,1,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,4,0,3,0,0,0,0,Blue4
52,295,0,0,1,1,0,0,0,0,1,0,0,3,2,0,3,0,0,0,0,0,2,1,2,0,0,0,0,Blue4
100,295,0,0,1,0,0,0,0,0,2,0,0,3,4,0,0,0,0,0,1,0,4,5,4,0,0,0,0,Blue4
1,295,0,0,1,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,0,0,4,3,5,0,0,0,0,Blue5
19,295,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,Blue5
95,295,0,0,0,0,0,0,0,0,3,0,0,2,3,0,1,0,0,0,1,0,3,0,3,0,0,0,0,Blue5
69,4904,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Red1
34,4904,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,Red2
