matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
91,2204,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,32,16,0,0,0,0,Red3
70,2204,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
7,2204,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Blue6
20,2204,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,Blue6
41,2204,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,Blue6
83,2204,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,8,0,0,1,0,Blue6
93,5274,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,4,1,4,0,0,0,0,Red1
12,5274,0,0,1,0,0,0,0,0,3,0,0,32,0,0,0,1,0,0,8,64,16,0,0,0,0,Red2
40,5274,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,1,8,4,0,0,0,0,Red2
100,5274,0,0,0,0,0,0,0,0,1,0,2,16,0,0,1,0,0,0,16,1,64,0,0,0,0,Red2
50,5274,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,4,64,32,0,1,0,0,Red3
19,5274,0,0,1,0,0,0,0,0,1,0,3,8,0,3,0,0,0,0,16,2,16,0,0,0,0,Blue4
35,5274,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,4,2,4,0,0,0,0,Blue4
60,5274,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,Blue4
66,5274,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,16,128,128,0,0,0,0,Blue4
73,5274,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,Blue4
82,5274,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
7,5274,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,8,0,0,0,0,Blue5
71,2473,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,Red2
90,2473,0,0,1,0,1,0,0,0,2,0,0,16,0,3,0,0,0,2,8,32,16,0,0,0,0,Red2
95,2473,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,16,4,8,0,0,0,0,Red2
22,2473,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,8,16,0,0,0,0,Red3
78,2473,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
3,2473,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,2,2,8,0,16,0,0,0,0,Blue5
40,2473,0,0,1,0,0,0,0,0,1,0,0,16,0,1,0,0,0,1,16,4,8,0,0,0,0,Blue5
46,2473,0,0,0,0,1,0,0,0,1,0,0,16,0,2,0,0,0,0,4,2,8,0,0,0,0,Blue5
59,2473,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,16,16,16,0,0,0,0,Blue5
10,2473,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,8,32,0,0,0,1,Blue6
3,5026,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,8,0,0,0,0,Red1
19,5026,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red2
39,5026,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,8,4,0,0,0,0,Red2
47,5026,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,32,16,0,0,0,0,Red3
78,5026,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,64,8,1,0,0,0,Red3
14,5026,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,Blue4
56,5026,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,Blue4
94,5026,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,8,0,0,0,0,Blue4
72,5026,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,32,2,0,0,0,0,Blue6
85,5026,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue6
102,5026,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,Blue6
8,4643,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,2,1,2,0,4,0,0,0,0,Red2
14,4643,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,4,4,0,0,0,0,Red2
25,4643,0,0,1,0,0,0,0,0,1,0,0,32,0,0,2,0,0,1,64,1,128,0,0,0,0,Red2
63,4643,1,0,1,0,0,0,0,0,1,0,0,16,0,0,0,0,0,2,32,4,4,0,0,0,0,Red2
93,4643,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,8,4,0,0,0,0,Red2
45,4643,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,8,8,0,0,0,0,Blue5
52,4643,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,8,16,0,0,0,0,Blue5
69,4643,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,4,32,0,0,0,0,Blue5
80,4643,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
102,4643,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
87,4643,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,16,64,32,0,0,1,0,Blue6
47,2085,0,0,1,1,0,0,0,0,3,0,0,32,0,0,0,3,0,0,32,16,64,0,0,0,0,Red1
22,2085,0,0,1,0,0,0,0,0,1,0,2,128,0,1,0,3,0,0,8,2,8,0,0,0,0,Red2
99,2085,0,0,1,0,1,0,0,0,1,0,0,64,0,2,0,2,0,0,64,32,128,0,0,0,0,Red2
62,2085,0,0,1,1,0,0,0,0,1,0,1,16,0,3,0,3,0,0,32,0,8,0,0,0,0,Red3
67,2085,0,0,1,0,0,0,0,0,1,0,1,16,0,0,2,3,0,0,64,8,32,0,0,0,1,Red3
28,2085,0,0,1,1,0,0,0,0,1,0,0,256,6,0,0,0,0,0,64,1,64,0,0,0,0,Blue4
80,2085,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,3,32,16,32,0,0,0,0,Blue4
38,2085,0,0,1,1,0,0,0,0,1,0,3,64,0,0,0,0,0,0,64,0,64,0,0,0,0,Blue5
4,2085,0,0,1,1,0,0,0,0,1,0,1,32,0,3,1,3,0,0,64,8,32,0,0,0,0,Blue6
12,2085,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,4,8,0,0,0,0,Blue6
19,4135,0,0,1,1,0,0,0,0,1,0,0,64,0,3,0,2,0,1,128,1,128,0,0,0,0,Red1
72,4135,0,0,1,0,1,0,0,0,3,0,1,16,0,1,0,0,0,0,128,32,64,0,0,0,0,Red1
87,4135,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,2,0,0,16,4,16,0,0,0,0,Red1
1,4135,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Red2
37,4135,0,0,0,0,1,0,0,0,1,0,2,32,0,2,0,0,0,2,64,16,64,0,0,0,0,Blue4
62,4135,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,4,1,2,0,0,0,0,Blue4
10,4135,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Blue5
48,4135,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,2,4,16,0,0,0,0,Blue5
92,4135,0,0,1,0,0,0,0,0,1,0,0,16,2,1,1,2,0,0,32,32,64,0,0,0,0,Blue5
80,4135,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,4,4,0,0,0,0,Blue6
10,668,0,0,1,0,0,0,0,0,3,0,0,32,0,0,0,0,0,1,8,128,64,0,0,0,0,Red1
20,668,0,0,1,0,0,0,0,0,3,0,0,8,0,0,0,0,0,1,64,32,64,0,0,0,0,Red1
65,668,1,0,1,0,0,0,0,0,3,0,0,64,0,2,0,2,0,2,64,16,64,0,0,0,0,Red2
102,668,0,0,1,1,0,0,0,0,3,0,0,32,0,1,0,1,0,1,64,32,128,0,0,0,0,Red2
42,668,0,0,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,32,2,32,0,0,0,0,Red3
