(matchnum, 32), (teamnum, 256), (Auto_Missed_High, 1), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 4), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 0), (Defense_Rating, 4), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 33), (teamnum, 5023), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 0), (Defense_Rating, 32), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 34), (teamnum, 4159), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 7), (Malfunction, 0), (Pickup_Rating, 16), (Defense_Rating, 8), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 35), (teamnum, 668), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 1), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 3), (Possession_Rating, 0), (3_Assist, 1), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 4), (Defense_Rating, 128), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 1), 
(matchnum, 36), (teamnum, 3256), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 2), (Possess_Number, 2), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 16), (Defense_Rating, 32), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 37), (teamnum, 4171), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 3), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 4), (Defense_Rating, 32), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 38), (teamnum, 256), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 1), (Possession_Rating, 16), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 1), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 32), (Defense_Rating, 8), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 39), (teamnum, 253), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 1), (Defense_Rating, 16), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 40), (teamnum, 751), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 1), (Defense_Rating, 32), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 41), (teamnum, 766), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 1), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 1), (Defense_Rating, 64), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 1), (Goal_Defense, 0), (Human_Pass, 0), 
